date,product,quantity,unit_price
2023-01-01,Coca-Cola,930.0,5.5
2023-02-01,Coca-Cola,936.0,5.5
2023-03-01,Coca-Cola,1075.0,5.5
2023-04-01,Coca-Cola,1255.0,5.5
2023-05-01,Coca-Cola,,5.5
2023-06-01,Coca-Cola,,5.5
2023-07-01,Coca-Cola,1763.0,5.5
2023-08-01,Coca-Cola,1662.0,5.5
2023-09-01,Coca-Cola,1296.0,5.5
2023-10-01,Coca-Cola,1185.0,5.5
2023-11-01,Coca-Cola,1012.0,5.5
2023-12-01,Coca-Cola,1380.0,5.5
2024-01-01,Coca-Cola,1011.0,5.5
2024-02-01,Coca-Cola,925.0,5.5
2024-03-01,Coca-Cola,1029.0,5.5
2024-04-01,Coca-Cola,1226.0,5.5
2024-05-01,Coca-Cola,1387.0,5.5
2024-06-01,Coca-Cola,1655.0,5.5
2024-07-01,Coca-Cola,1710.0,5.5
2024-08-01,Coca-Cola,1627.0,5.5
2024-09-01,Coca-Cola,1508.0,5.5
2024-10-01,Coca-Cola,1234.0,5.5
2024-11-01,Coca-Cola,1140.0,5.5
2024-12-01,Coca-Cola,1419.0,5.5
2025-01-01,Coca-Cola,1059.0,5.5
2025-02-01,Coca-Cola,1143.0,5.5
2025-03-01,Coca-Cola,1159.0,5.5
2025-04-01,Coca-Cola,1379.0,5.5
2025-05-01,Coca-Cola,1508.0,5.5
2025-06-01,Coca-Cola,1714.0,5.5
2025-07-01,Coca-Cola,1824.0,5.5
2025-08-01,Coca-Cola,1919.0,5.5
2025-09-01,Coca-Cola,1515.0,5.5
2025-10-01,Coca-Cola,1281.0,5.5
2025-11-01,Coca-Cola,1281.0,5.5
2025-12-01,Coca-Cola,1527.0,5.5
2023-01-01,Fanta,609.0,5.0
2023-02-01,Fanta,541.0,5.0
2023-03-01,Fanta,630.0,5.0
2023-04-01,Fanta,784.0,5.0
2023-05-01,Fanta,933.0,5.0
2023-06-01,Fanta,1033.0,5.0
2023-07-01,Fanta,1105.0,5.0
2023-08-01,Fanta,1061.0,5.0
2023-09-01,Fanta,813.0,5.0
2023-10-01,Fanta,733.0,5.0
2023-11-01,Fanta,669.0,5.0
2023-12-01,Fanta,983.0,5.0
2024-01-01,Fanta,675.0,5.0
2024-02-01,Fanta,610.0,5.0
2024-03-01,Fanta,765.0,5.0
2024-04-01,Fanta,818.0,5.0
2024-05-01,Fanta,930.0,5.0
2024-06-01,Fanta,1113.0,5.0
2024-07-01,Fanta,1216.0,5.0
2024-08-01,Fanta,1177.0,5.0
2024-09-01,Fanta,902.0,5.0
2024-10-01,Fanta,811.0,5.0
2024-11-01,Fanta,765.0,5.0
2024-12-01,Fanta,1039.0,5.0
2025-01-01,Fanta,698.0,5.0
2025-02-01,Fanta,741.0,5.0
2025-03-01,Fanta,760.0,5.0
2025-04-01,Fanta,841.0,5.0
2025-05-01,Fanta,1057.0,5.0
2025-06-01,Fanta,1206.0,5.0
2025-07-01,Fanta,1227.0,5.0
2025-08-01,Fanta,1240.0,5.0
2025-09-01,Fanta,1016.0,5.0
2025-10-01,Fanta,856.0,5.0
2025-11-01,Fanta,826.0,5.0
2025-12-01,Fanta,1124.0,5.0
2023-01-01,Eau Sidi Ali,1897.0,3.0
2023-02-01,Eau Sidi Ali,1977.0,3.0
2023-03-01,Eau Sidi Ali,1774.0,3.0
2023-04-01,Eau Sidi Ali,2102.0,3.0
2023-05-01,Eau Sidi Ali,2095.0,3.0
2023-06-01,Eau Sidi Ali,2136.0,3.0
2023-07-01,Eau Sidi Ali,2239.0,3.0
2023-08-01,Eau Sidi Ali,2025.0,3.0
2023-09-01,Eau Sidi Ali,2078.0,3.0
2023-10-01,Eau Sidi Ali,2097.0,3.0
2023-11-01,Eau Sidi Ali,2138.0,3.0
2023-12-01,Eau Sidi Ali,2131.0,3.0
2024-01-01,Eau Sidi Ali,1979.0,3.0
2024-02-01,Eau Sidi Ali,1956.0,3.0
2024-03-01,Eau Sidi Ali,2201.0,3.0
2024-04-01,Eau Sidi Ali,2206.0,3.0
2024-05-01,Eau Sidi Ali,2190.0,3.0
2024-06-01,Eau Sidi Ali,2345.0,3.0
2024-07-01,Eau Sidi Ali,2384.0,3.0
2024-08-01,Eau Sidi Ali,2405.0,3.0
2024-09-01,Eau Sidi Ali,2184.0,3.0
2024-10-01,Eau Sidi Ali,2186.0,3.0
2024-11-01,Eau Sidi Ali,2133.0,3.0
2024-12-01,Eau Sidi Ali,2199.0,3.0
2025-01-01,Eau Sidi Ali,2212.0,3.0
2025-02-01,Eau Sidi Ali,2161.0,3.0
2025-03-01,Eau Sidi Ali,2272.0,3.0
2025-04-01,Eau Sidi Ali,2305.0,3.0
2025-05-01,Eau Sidi Ali,2263.0,3.0
2025-06-01,Eau Sidi Ali,2414.0,3.0
2025-07-01,Eau Sidi Ali,2493.0,3.0
2025-08-01,Eau Sidi Ali,2408.0,3.0
2025-09-01,Eau Sidi Ali,2371.0,3.0
2025-10-01,Eau Sidi Ali,2388.0,3.0
2025-11-01,Eau Sidi Ali,2459.0,3.0
2025-12-01,Eau Sidi Ali,2474.0,3.0
2023-01-01,Thé Lipton,699.0,8.0
2023-02-01,Thé Lipton,660.0,8.0
2023-03-01,Thé Lipton,539.0,8.0
2023-04-01,Thé Lipton,548.0,8.0
2023-05-01,Thé Lipton,494.0,8.0
2023-06-01,Thé Lipton,521.0,8.0
2023-07-01,Thé Lipton,401.0,8.0
2023-08-01,Thé Lipton,440.0,8.0
2023-09-01,Thé Lipton,533.0,8.0
2023-10-01,Thé Lipton,586.0,8.0
2023-11-01,Thé Lipton,760.0,8.0
2023-12-01,Thé Lipton,809.0,8.0
2024-01-01,Thé Lipton,754.0,8.0
2024-02-01,Thé Lipton,667.0,8.0
2024-03-01,Thé Lipton,691.0,8.0
2024-04-01,Thé Lipton,536.0,8.0
2024-05-01,Thé Lipton,549.0,8.0
2024-06-01,Thé Lipton,548.0,8.0
2024-07-01,Thé Lipton,409.0,8.0
2024-08-01,Thé Lipton,445.0,8.0
2024-09-01,Thé Lipton,573.0,8.0
2024-10-01,Thé Lipton,645.0,8.0
2024-11-01,Thé Lipton,702.0,8.0
2024-12-01,Thé Lipton,821.0,8.0
2025-01-01,Thé Lipton,725.0,8.0
2025-02-01,Thé Lipton,752.0,8.0
2025-03-01,Thé Lipton,646.0,8.0
2025-04-01,Thé Lipton,675.0,8.0
2025-05-01,Thé Lipton,537.0,8.0
2025-06-01,Thé Lipton,496.0,8.0
2025-07-01,Thé Lipton,508.0,8.0
2025-08-01,Thé Lipton,458.0,8.0
2025-09-01,Thé Lipton,614.0,8.0
2025-10-01,Thé Lipton,745.0,8.0
2025-11-01,Thé Lipton,736.0,8.0
2025-12-01,Thé Lipton,861.0,8.0
2023-01-01,Jus Miami,385.0,7.0
2023-02-01,Jus Miami,419.0,7.0
2023-03-01,Jus Miami,372.0,7.0
2023-04-01,Jus Miami,416.0,7.0
2023-05-01,Jus Miami,563.0,7.0
2023-06-01,Jus Miami,627.0,7.0
2023-07-01,Jus Miami,673.0,7.0
2023-08-01,Jus Miami,650.0,7.0
2023-09-01,Jus Miami,482.0,7.0
2023-10-01,Jus Miami,441.0,7.0
2023-11-01,Jus Miami,392.0,7.0
2023-12-01,Jus Miami,499.0,7.0
2024-01-01,Jus Miami,426.0,7.0
2024-02-01,Jus Miami,383.0,7.0
