date,port,tonnage_milliers,nb_navires
2023-01-01,Casablanca,2596,157
2023-02-01,Casablanca,2461,118
2023-03-01,Casablanca,2787,139
2023-04-01,Casablanca,2694,128
2023-05-01,Casablanca,2798,184
2023-06-01,Casablanca,3014,127
2023-07-01,Casablanca,2777,114
2023-08-01,Casablanca,2280,110
2023-09-01,Casablanca,1966,89
2023-10-01,Casablanca,3207,132
2023-11-01,Casablanca,3549,161
2023-12-01,Casablanca,3184,193
2024-01-01,Casablanca,2765,133
2024-02-01,Casablanca,2535,120
2024-03-01,Casablanca,2747,143
2024-04-01,Casablanca,3114,139
2024-05-01,Casablanca,3009,124
2024-06-01,Casablanca,2799,115
2024-07-01,Casablanca,2622,134
2024-08-01,Casablanca,2300,143
2024-09-01,Casablanca,3062,123
2024-10-01,Casablanca,3396,145
2024-11-01,Casablanca,3299,203
2024-12-01,Casablanca,3348,138
2025-01-01,Casablanca,2909,123
2025-02-01,Casablanca,2667,132
2025-03-01,Casablanca,3243,155
2025-04-01,Casablanca,3275,172
2025-05-01,Casablanca,3096,199
2025-06-01,Casablanca,3067,167
2025-07-01,Casablanca,2715,118
2025-08-01,Casablanca,2384,158
2025-09-01,Casablanca,3091,169
2025-10-01,Casablanca,3639,192
2025-11-01,Casablanca,3252,160
2025-12-01,Casablanca,3358,139
2023-01-01,Jorf Lasfar,3402,184
2023-02-01,Jorf Lasfar,3442,186
2023-03-01,Jorf Lasfar,3616,162
2023-04-01,Jorf Lasfar,3590,184
2023-05-01,Jorf Lasfar,3917,227
2023-06-01,Jorf Lasfar,3625,186
2023-07-01,Jorf Lasfar,3456,211
2023-08-01,Jorf Lasfar,3247,194
2023-09-01,Jorf Lasfar,3409,171
2023-10-01,Jorf Lasfar,3499,182
2023-11-01,Jorf Lasfar,3563,148
2023-12-01,Jorf Lasfar,3603,193
2024-01-01,Jorf Lasfar,3755,180
2024-02-01,Jorf Lasfar,3548,166
2024-03-01,Jorf Lasfar,3900,258
2024-04-01,Jorf Lasfar,4013,185
2024-05-01,Jorf Lasfar,3840,229
2024-06-01,Jorf Lasfar,4012,163
2024-07-01,Jorf Lasfar,3496,212
2024-08-01,Jorf Lasfar,3521,184
2024-09-01,Jorf Lasfar,3511,221
2024-10-01,Jorf Lasfar,3544,142
2024-11-01,Jorf Lasfar,3586,179
2024-12-01,Jorf Lasfar,3677,175
2025-01-01,Jorf Lasfar,3899,249
2025-02-01,Jorf Lasfar,3739,166
2025-03-01,Jorf Lasfar,4161,243
2025-04-01,Jorf Lasfar,3831,160
2025-05-01,Jorf Lasfar,4260,250
2025-06-01,Jorf Lasfar,3928,232
2025-07-01,Jorf Lasfar,3677,239
2025-08-01,Jorf Lasfar,3622,184
2025-09-01,Jorf Lasfar,3676,178
2025-10-01,Jorf Lasfar,3937,251
2025-11-01,Jorf Lasfar,4161,183
2025-12-01,Jorf Lasfar,3763,193
2023-01-01,Mohammedia,1717,85
2023-02-01,Mohammedia,1490,77
2023-03-01,Mohammedia,1552,82
2023-04-01,Mohammedia,1555,75
2023-05-01,Mohammedia,1172,71
2023-06-01,Mohammedia,1236,73
2023-07-01,Mohammedia,1351,57
2023-08-01,Mohammedia,1219,50
2023-09-01,Mohammedia,1495,80
2023-10-01,Mohammedia,1572,89
2023-11-01,Mohammedia,1782,83
2023-12-01,Mohammedia,1843,97
2024-01-01,Mohammedia,1803,118
2024-02-01,Mohammedia,1660,100
2024-03-01,Mohammedia,1597,72
2024-04-01,Mohammedia,1467,68
2024-05-01,Mohammedia,1391,91
2024-06-01,Mohammedia,1325,77
2024-07-01,Mohammedia,1397,81
2024-08-01,Mohammedia,1261,58
2024-09-01,Mohammedia,1548,102
2024-10-01,Mohammedia,1846,115
2024-11-01,Mohammedia,1905,83
2024-12-01,Mohammedia,1889,113
2025-01-01,Mohammedia,1866,87
2025-02-01,Mohammedia,1667,96
2025-03-01,Mohammedia,1467,92
2025-04-01,Mohammedia,1479,85
2025-05-01,Mohammedia,1340,60
2025-06-01,Mohammedia,1392,59
2025-07-01,Mohammedia,1426,61
2025-08-01,Mohammedia,1489,78
2025-09-01,Mohammedia,1611,74
2025-10-01,Mohammedia,1722,101
2025-11-01,Mohammedia,1961,109
2025-12-01,Mohammedia,1798,75
2023-01-01,Agadir,692,46
2023-02-01,Agadir,687,43
2023-03-01,Agadir,662,39
2023-04-01,Agadir,881,58
2023-05-01,Agadir,929,55
2023-06-01,Agadir,939,45
2023-07-01,Agadir,1040,54
2023-08-01,Agadir,1050,44
2023-09-01,Agadir,873,38
2023-10-01,Agadir,804,44
2023-11-01,Agadir,737,42
2023-12-01,Agadir,686,36
2024-01-01,Agadir,818,39
2024-02-01,Agadir,701,40
2024-03-01,Agadir,836,39
2024-04-01,Agadir,896,47
2024-05-01,Agadir,1032,50
2024-06-01,Agadir,1073,55
2024-07-01,Agadir,1156,64
2024-08-01,Agadir,1006,41
2024-09-01,Agadir,947,42
2024-10-01,Agadir,839,51
2024-11-01,Agadir,834,35
2024-12-01,Agadir,843,42
2025-01-01,Agadir,910,38
2025-02-01,Agadir,794,35
2025-03-01,Agadir,971,50
2025-04-01,Agadir,1084,71
2025-05-01,Agadir,1125,64
2025-06-01,Agadir,1246,61
2025-07-01,Agadir,1161,54
2025-08-01,Agadir,1066,61
2025-09-01,Agadir,967,59
2025-10-01,Agadir,1059,45
2025-11-01,Agadir,985,40
2025-12-01,Agadir,917,45
