date,product,quantity,unit_price
2023-01-01,Smartphone Samsung,114.0,2500
2023-02-01,Smartphone Samsung,87.0,2500
2023-03-01,Smartphone Samsung,100.0,2500
2023-04-01,Smartphone Samsung,133.0,2500
2023-05-01,Smartphone Samsung,132.0,2500
2023-06-01,Smartphone Samsung,156.0,2500
2023-07-01,Smartphone Samsung,147.0,2500
2023-08-01,Smartphone Samsung,133.0,2500
2023-09-01,Smartphone Samsung,138.0,2500
2023-10-01,Smartphone Samsung,138.0,2500
2023-11-01,Smartphone Samsung,186.0,2500
2023-12-01,Smartphone Samsung,320.0,2500
2024-01-01,Smartphone Samsung,132.0,2500
2024-02-01,Smartphone Samsung,105.0,2500
2024-03-01,Smartphone Samsung,143.0,2500
2024-04-01,Smartphone Samsung,156.0,2500
2024-05-01,Smartphone Samsung,146.0,2500
2024-06-01,Smartphone Samsung,171.0,2500
2024-07-01,Smartphone Samsung,164.0,2500
2024-08-01,Smartphone Samsung,141.0,2500
2024-09-01,Smartphone Samsung,180.0,2500
2024-10-01,Smartphone Samsung,193.0,2500
2024-11-01,Smartphone Samsung,233.0,2500
2024-12-01,Smartphone Samsung,347.0,2500
2025-01-01,Smartphone Samsung,132.0,2500
2025-02-01,Smartphone Samsung,133.0,2500
2025-03-01,Smartphone Samsung,172.0,2500
2025-04-01,Smartphone Samsung,182.0,2500
2025-05-01,Smartphone Samsung,191.0,2500
2025-06-01,Smartphone Samsung,251.0,2500
2025-07-01,Smartphone Samsung,196.0,2500
2025-08-01,Smartphone Samsung,199.0,2500
2025-09-01,Smartphone Samsung,213.0,2500
2025-10-01,Smartphone Samsung,218.0,2500
2025-11-01,Smartphone Samsung,236.0,2500
2025-12-01,Smartphone Samsung,366.0,2500
2023-01-01,Casque Bluetooth,125.0,350
2023-02-01,Casque Bluetooth,130.0,350
2023-03-01,Casque Bluetooth,150.0,350
2023-04-01,Casque Bluetooth,177.0,350
2023-05-01,Casque Bluetooth,236.0,350
2023-06-01,Casque Bluetooth,168.0,350
2023-07-01,Casque Bluetooth,214.0,350
2023-08-01,Casque Bluetooth,163.0,350
2023-09-01,Casque Bluetooth,211.0,350
2023-10-01,Casque Bluetooth,257.0,350
2023-11-01,Casque Bluetooth,281.0,350
2023-12-01,Casque Bluetooth,413.0,350
2024-01-01,Casque Bluetooth,186.0,350
2024-02-01,Casque Bluetooth,209.0,350
2024-03-01,Casque Bluetooth,205.0,350
2024-04-01,Casque Bluetooth,239.0,350
2024-05-01,Casque Bluetooth,251.0,350
2024-06-01,Casque Bluetooth,252.0,350
2024-07-01,Casque Bluetooth,303.0,350
2024-08-01,Casque Bluetooth,268.0,350
2024-09-01,Casque Bluetooth,239.0,350
2024-10-01,Casque Bluetooth,299.0,350
2024-11-01,Casque Bluetooth,327.0,350
2024-12-01,Casque Bluetooth,512.0,350
2025-01-01,Casque Bluetooth,244.0,350
2025-02-01,Casque Bluetooth,253.0,350
2025-03-01,Casque Bluetooth,290.0,350
2025-04-01,Casque Bluetooth,312.0,350
2025-05-01,Casque Bluetooth,286.0,350
2025-06-01,Casque Bluetooth,,350
2025-07-01,Casque Bluetooth,311.0,350
2025-08-01,Casque Bluetooth,302.0,350
2025-09-01,Casque Bluetooth,375.0,350
2025-10-01,Casque Bluetooth,363.0,350
2025-11-01,Casque Bluetooth,375.0,350
2025-12-01,Casque Bluetooth,573.0,350
2023-01-01,Sac à dos scolaire,293.0,150
2023-02-01,Sac à dos scolaire,251.0,150
2023-03-01,Sac à dos scolaire,202.0,150
2023-04-01,Sac à dos scolaire,243.0,150
2023-05-01,Sac à dos scolaire,302.0,150
2023-06-01,Sac à dos scolaire,282.0,150
2023-07-01,Sac à dos scolaire,296.0,150
2023-08-01,Sac à dos scolaire,439.0,150
2023-09-01,Sac à dos scolaire,382.0,150
2023-10-01,Sac à dos scolaire,299.0,150
2023-11-01,Sac à dos scolaire,174.0,150
2023-12-01,Sac à dos scolaire,199.0,150
2024-01-01,Sac à dos scolaire,234.0,150
2024-02-01,Sac à dos scolaire,194.0,150
2024-03-01,Sac à dos scolaire,281.0,150
2024-04-01,Sac à dos scolaire,219.0,150
2024-05-01,Sac à dos scolaire,259.0,150
2024-06-01,Sac à dos scolaire,303.0,150
2024-07-01,Sac à dos scolaire,321.0,150
2024-08-01,Sac à dos scolaire,384.0,150
2024-09-01,Sac à dos scolaire,434.0,150
2024-10-01,Sac à dos scolaire,300.0,150
2024-11-01,Sac à dos scolaire,230.0,150
2024-12-01,Sac à dos scolaire,237.0,150
2025-01-01,Sac à dos scolaire,245.0,150
2025-02-01,Sac à dos scolaire,210.0,150
2025-03-01,Sac à dos scolaire,242.0,150
2025-04-01,Sac à dos scolaire,245.0,150
2025-05-01,Sac à dos scolaire,273.0,150
2025-06-01,Sac à dos scolaire,317.0,150
2025-07-01,Sac à dos scolaire,,150
2025-08-01,Sac à dos scolaire,389.0,150
2025-09-01,Sac à dos scolaire,458.0,150
2025-10-01,Sac à dos scolaire,251.0,150
2025-11-01,Sac à dos scolaire,251.0,150
2025-12-01,Sac à dos scolaire,240.0,150
2023-01-01,Cahiers 96 pages,654.0,8
2023-02-01,Cahiers 96 pages,566.0,8
2023-03-01,Cahiers 96 pages,624.0,8
2023-04-01,Cahiers 96 pages,646.0,8
2023-05-01,Cahiers 96 pages,679.0,8
2023-06-01,Cahiers 96 pages,827.0,8
2023-07-01,Cahiers 96 pages,760.0,8
2023-08-01,Cahiers 96 pages,,8
2023-09-01,Cahiers 96 pages,1101.0,8
2023-10-01,Cahiers 96 pages,788.0,8
2023-11-01,Cahiers 96 pages,691.0,8
2023-12-01,Cahiers 96 pages,598.0,8
2024-01-01,Cahiers 96 pages,563.0,8
2024-02-01,Cahiers 96 pages,533.0,8
2024-03-01,Cahiers 96 pages,635.0,8
2024-04-01,Cahiers 96 pages,666.0,8
2024-05-01,Cahiers 96 pages,671.0,8
2024-06-01,Cahiers 96 pages,,8
2024-07-01,Cahiers 96 pages,770.0,8
2024-08-01,Cahiers 96 pages,1033.0,8
2024-09-01,Cahiers 96 pages,1047.0,8
2024-10-01,Cahiers 96 pages,,8
2024-11-01,Cahiers 96 pages,603.0,8
2024-12-01,Cahiers 96 pages,586.0,8
2025-01-01,Cahiers 96 pages,609.0,8
2025-02-01,Cahiers 96 pages,566.0,8
2025-03-01,Cahiers 96 pages,627.0,8
2025-04-01,Cahiers 96 pages,600.0,8
2025-05-01,Cahiers 96 pages,670.0,8
2025-06-01,Cahiers 96 pages,697.0,8
2025-07-01,Cahiers 96 pages,686.0,8
2025-08-01,Cahiers 96 pages,1020.0,8
2025-09-01,Cahiers 96 pages,989.0,8
2025-10-01,Cahiers 96 pages,731.0,8
2025-11-01,Cahiers 96 pages,537.0,8
2025-12-01,Cahiers 96 pages,600.0,8
2023-01-01,T-shirt basique,310.0,60
2023-02-01,T-shirt basique,287.0,60
2023-03-01,T-shirt basique,421.0,60
2023-04-01,T-shirt basique,453.0,60
2023-05-01,T-shirt basique,471.0,60
2023-06-01,T-shirt basique,494.0,60
2023-07-01,T-shirt basique,498.0,60
2023-08-01,T-shirt basique,,60
2023-09-01,T-shirt basique,386.0,60
2023-10-01,T-shirt basique,,60
2023-11-01,T-shirt basique,419.0,60
2023-12-01,T-shirt basique,469.0,60
2024-01-01,T-shirt basique,351.0,60
2024-02-01,T-shirt basique,349.0,60
2024-03-01,T-shirt basique,434.0,60
2024-04-01,T-shirt basique,448.0,60
2024-05-01,T-shirt basique,463.0,60
2024-06-01,T-shirt basique,518.0,60
2024-07-01,T-shirt basique,541.0,60
2024-08-01,T-shirt basique,442.0,60
2024-09-01,T-shirt basique,406.0,60
2024-10-01,T-shirt basique,410.0,60
2024-11-01,T-shirt basique,383.0,60
2024-12-01,T-shirt basique,467.0,60
2025-01-01,T-shirt basique,390.0,60
2025-02-01,T-shirt basique,389.0,60
2025-03-01,T-shirt basique,467.0,60
2025-04-01,T-shirt basique,545.0,60
2025-05-01,T-shirt basique,550.0,60
2025-06-01,T-shirt basique,542.0,60
2025-07-01,T-shirt basique,569.0,60
2025-08-01,T-shirt basique,463.0,60
2025-09-01,T-shirt basique,455.0,60
2025-10-01,T-shirt basique,430.0,60
2025-11-01,T-shirt basique,472.0,60
2025-12-01,T-shirt basique,520.0,60
2023-01-01,Jean slim,223.0,200
2023-02-01,Jean slim,232.0,200
2023-03-01,Jean slim,237.0,200
2023-04-01,Jean slim,274.0,200
2023-05-01,Jean slim,293.0,200
2023-06-01,Jean slim,284.0,200
2023-07-01,Jean slim,310.0,200
2023-08-01,Jean slim,257.0,200
2023-09-01,Jean slim,,200
2023-10-01,Jean slim,206.0,200
2023-11-01,Jean slim,235.0,200
2023-12-01,Jean slim,296.0,200
2024-01-01,Jean slim,254.0,200
2024-02-01,Jean slim,232.0,200
2024-03-01,Jean slim,295.0,200
2024-04-01,Jean slim,262.0,200
2024-05-01,Jean slim,308.0,200
2024-06-01,Jean slim,308.0,200
2024-07-01,Jean slim,362.0,200
2024-08-01,Jean slim,253.0,200
2024-09-01,Jean slim,228.0,200
2024-10-01,Jean slim,222.0,200
2024-11-01,Jean slim,205.0,200
2024-12-01,Jean slim,287.0,200
2025-01-01,Jean slim,221.0,200
2025-02-01,Jean slim,228.0,200
2025-03-01,Jean slim,270.0,200
2025-04-01,Jean slim,327.0,200
2025-05-01,Jean slim,322.0,200
2025-06-01,Jean slim,305.0,200
2025-07-01,Jean slim,312.0,200
2025-08-01,Jean slim,291.0,200
2025-09-01,Jean slim,231.0,200
2025-10-01,Jean slim,282.0,200
2025-11-01,Jean slim,283.0,200
2025-12-01,Jean slim,301.0,200
2023-01-01,Huile d'olive 1L,449.0,80
2023-02-01,Huile d'olive 1L,520.0,80
2023-03-01,Huile d'olive 1L,530.0,80
2023-04-01,Huile d'olive 1L,599.0,80
2023-05-01,Huile d'olive 1L,493.0,80
2023-06-01,Huile d'olive 1L,502.0,80
2023-07-01,Huile d'olive 1L,499.0,80
2023-08-01,Huile d'olive 1L,479.0,80
2023-09-01,Huile d'olive 1L,518.0,80
2023-10-01,Huile d'olive 1L,580.0,80
2023-11-01,Huile d'olive 1L,508.0,80
2023-12-01,Huile d'olive 1L,515.0,80
2024-01-01,Huile d'olive 1L,552.0,80
2024-02-01,Huile d'olive 1L,542.0,80
2024-03-01,Huile d'olive 1L,904.0,80
2024-04-01,Huile d'olive 1L,576.0,80
2024-05-01,Huile d'olive 1L,543.0,80
2024-06-01,Huile d'olive 1L,606.0,80
2024-07-01,Huile d'olive 1L,557.0,80
2024-08-01,Huile d'olive 1L,504.0,80
2024-09-01,Huile d'olive 1L,627.0,80
2024-10-01,Huile d'olive 1L,612.0,80
2024-11-01,Huile d'olive 1L,623.0,80
2024-12-01,Huile d'olive 1L,569.0,80
2025-01-01,Huile d'olive 1L,658.0,80
2025-02-01,Huile d'olive 1L,628.0,80
2025-03-01,Huile d'olive 1L,870.0,80
2025-04-01,Huile d'olive 1L,687.0,80
2025-05-01,Huile d'olive 1L,656.0,80
2025-06-01,Huile d'olive 1L,657.0,80
2025-07-01,Huile d'olive 1L,566.0,80
2025-08-01,Huile d'olive 1L,595.0,80
2025-09-01,Huile d'olive 1L,660.0,80
2025-10-01,Huile d'olive 1L,604.0,80
2025-11-01,Huile d'olive 1L,601.0,80
2025-12-01,Huile d'olive 1L,554.0,80
2023-01-01,Riz 5kg,591.0,55
2023-02-01,Riz 5kg,597.0,55
2023-03-01,Riz 5kg,687.0,55
2023-04-01,Riz 5kg,669.0,55
2023-05-01,Riz 5kg,695.0,55
2023-06-01,Riz 5kg,562.0,55
2023-07-01,Riz 5kg,522.0,55
2023-08-01,Riz 5kg,552.0,55
2023-09-01,Riz 5kg,629.0,55
2023-10-01,Riz 5kg,647.0,55
2023-11-01,Riz 5kg,548.0,55
2023-12-01,Riz 5kg,589.0,55
2024-01-01,Riz 5kg,578.0,55
2024-02-01,Riz 5kg,619.0,55
2024-03-01,Riz 5kg,671.0,55
2024-04-01,Riz 5kg,657.0,55
2024-05-01,Riz 5kg,644.0,55
2024-06-01,Riz 5kg,597.0,55
2024-07-01,Riz 5kg,604.0,55
2024-08-01,Riz 5kg,611.0,55
2024-09-01,Riz 5kg,605.0,55
2024-10-01,Riz 5kg,690.0,55
2024-11-01,Riz 5kg,625.0,55
2024-12-01,Riz 5kg,588.0,55
2025-01-01,Riz 5kg,644.0,55
2025-02-01,Riz 5kg,584.0,55
2025-03-01,Riz 5kg,663.0,55
2025-04-01,Riz 5kg,672.0,55
2025-05-01,Riz 5kg,755.0,55
2025-06-01,Riz 5kg,659.0,55
2025-07-01,Riz 5kg,606.0,55
2025-08-01,Riz 5kg,609.0,55
2025-09-01,Riz 5kg,660.0,55
2025-10-01,Riz 5kg,688.0,55
2025-11-01,Riz 5kg,689.0,55
2025-12-01,Riz 5kg,667.0,55
